Id;Score;Date
3175;8.5;2020-03-30 18:35:15+02
3209;7.5;2020-03-30 17:16:20+02
3229;8.5;2020-03-30 11:23:42+02
3229;No terminado;2020-03-30 10:48:41+02
3229;No terminado;2020-03-30 10:47:22+02
3229;No terminado;2020-03-30 10:45:33+02
3250;No terminado;2020-03-30 00:18:22+02
3203;7.5;2020-03-29 23:46:41+02
3190;7.5;2020-03-29 23:08:47+02
3190;No terminado;2020-03-29 22:46:08+02
3190;No terminado;2020-03-29 22:40:23+02
3262;7.5;2020-03-29 22:27:08+02
3190;No terminado;2020-03-29 22:26:21+02
3224;7;2020-03-29 22:06:35+02
3255;2.5;2020-03-29 22:06:05+02
3220;8;2020-03-29 19:50:36+02
3195;8.5;2020-03-29 19:48:37+02
3194;5.5;2020-03-29 19:28:23+02
3249;5;2020-03-29 19:02:23+02
3191;7;2020-03-29 19:00:55+02
3257;5.5;2020-03-29 18:54:23+02
3235;7;2020-03-29 18:14:17+02
3196;7.5;2020-03-29 18:12:24+02
3250;5.5;2020-03-29 17:36:52+02
3218;8;2020-03-29 17:24:19+02
3218;No terminado;2020-03-29 17:19:25+02
3218;No terminado;2020-03-29 16:56:00+02
3218;No terminado;2020-03-29 16:49:43+02
3254;5;2020-03-29 16:30:40+02
3202;7.5;2020-03-29 16:17:18+02
3185;8;2020-03-29 15:49:20+02
3185;No terminado;2020-03-29 15:47:16+02
3247;8;2020-03-29 05:26:22+02
3182;7.5;2020-03-28 22:45:37+01
3182;No terminado;2020-03-28 22:45:09+01
3257;No terminado;2020-03-28 19:32:53+01
3189;8;2020-03-28 19:32:21+01
3231;8;2020-03-28 18:56:35+01
3231;No terminado;2020-03-28 18:52:08+01
3199;7.5;2020-03-28 17:55:22+01
3253;7.5;2020-03-28 17:21:03+01
3175;8.5;2020-03-28 15:59:08+01
3175;No terminado;2020-03-28 15:57:15+01
3175;No terminado;2020-03-28 15:55:14+01
3175;No terminado;2020-03-28 15:45:02+01
3175;No terminado;2020-03-28 15:36:41+01
3175;No terminado;2020-03-28 15:34:42+01
3217;5;2020-03-28 14:57:17+01
3200;9;2020-03-28 14:15:21+01
3187;8;2020-03-28 13:23:55+01
3245;5;2020-03-28 12:31:42+01
3219;7;2020-03-28 12:18:09+01
3176;7.5;2020-03-28 11:21:55+01
3257;5;2020-03-27 19:36:34+01
3188;8;2020-03-27 18:04:51+01
3188;No terminado;2020-03-27 18:04:47+01
3261;8;2020-03-27 17:48:43+01
3236;7.5;2020-03-27 17:43:46+01
3217;No terminado;2020-03-27 17:43:08+01
3245;5;2020-03-27 17:40:28+01
3235;6;2020-03-27 17:18:59+01
3218;9;2020-03-27 17:15:36+01
3204;9;2020-03-27 17:12:41+01
3247;8;2020-03-27 17:02:32+01
3197;No terminado;2020-03-27 17:01:24+01
3221;4.5;2020-03-27 17:00:12+01
3207;5;2020-03-27 16:59:56+01
3183;7;2020-03-27 16:54:53+01
3219;6.5;2020-03-27 16:51:04+01
3246;6.5;2020-03-27 16:48:54+01
3220;6;2020-03-27 16:48:17+01
3231;7.5;2020-03-27 16:45:58+01
3201;9;2020-03-27 16:40:46+01
3223;7.5;2020-03-27 16:38:11+01
3223;No terminado;2020-03-27 16:37:46+01
3206;6.5;2020-03-27 16:35:06+01
3250;5;2020-03-27 16:35:06+01
3228;8;2020-03-27 16:34:47+01
3223;No terminado;2020-03-27 16:34:31+01
3224;6;2020-03-27 16:34:20+01
3250;No terminado;2020-03-27 16:34:15+01
3200;9;2020-03-27 16:32:46+01
3279;8;2020-03-27 16:32:42+01
3198;8;2020-03-27 16:32:10+01
3199;7;2020-03-27 16:31:25+01
3182;8;2020-03-27 16:31:23+01
3254;5;2020-03-27 16:30:22+01
3182;No terminado;2020-03-27 16:30:13+01
3195;8;2020-03-27 16:29:14+01
3230;7.5;2020-03-27 16:27:49+01
3206;No terminado;2020-03-27 16:27:09+01
3250;No terminado;2020-03-27 16:26:43+01
3233;5;2020-03-27 16:26:35+01
